#TYPE Selected.OleViewDotNet.Database.COMCLSIDEntry
"Clsid","Name","DefaultServer","DefaultServerName","DefaultCmdLine","DefaultServerType","TreatAs","AppID","AppIDEntry","HasAppID","TypeLib","TypeLibEntry","HasTypeLib","CanElevate","AutoElevation","Elevation","Servers","Categories","CategoryEntries","ProgIds","ProgIdEntries","DefaultThreadingModel","ActivatableFromApp","TrustedMarshaller","TrustedMarshallerCategory","SafeForScripting","SafeForInitializing","HasLaunchPermission","HasAccessPermission","HasPermission","LaunchPermission","AccessPermission","HasRunAs","RunAs","PackageId","Source","InterfacesLoaded","Interfaces","FactoryInterfaces","CreateContext","SupportsRemoteActivation","DefaultAccessPermission","DefaultLaunchPermission","ComGuid"
"000c101c-0000-0000-c000-000000000046","Msi install server","<APPID HOSTED>","<APPID HOSTED>","","LocalServer32","00000000-0000-0000-0000-000000000000","000c101c-0000-0000-c000-000000000046","000C101C-0000-0000-C000-000000000046","True","00000000-0000-0000-0000-000000000000",,"False","False","False",,"System.Collections.ObjectModel.ReadOnlyDictionary`2[OleViewDotNet.Database.COMServerType,OleViewDotNet.Database.COMCLSIDServerEntry]","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Guid]","System.Linq.Enumerable+WhereEnumerableIterator`1[OleViewDotNet.Database.COMCategory]","System.Linq.Enumerable+WhereSelectEnumerableIterator`2[OleViewDotNet.Database.COMProgIDEntry,System.String]","System.Collections.ObjectModel.ReadOnlyCollection`1[OleViewDotNet.Database.COMProgIDEntry]","Apartment","False","False","False","False","False","False","False","False","","","False","","","LocalMachine","False","OleViewDotNet.Database.COMInterfaceInstance[]","OleViewDotNet.Database.COMInterfaceInstance[]","LOCAL_SERVER","True","O:BAG:BAD:(A;;CCDCLC;;;PS)(A;;CCDC;;;SY)(A;;CCDCLC;;;BA)","O:BAG:BAD:(A;;CCDCLCSWRP;;;BA)(A;;CCDCLCSWRP;;;IU)(A;;CCDCLCSWRP;;;SY)","000c101c-0000-0000-c000-000000000046"
"0134a8b2-3407-4b45-ad25-e9f7c92a80bc","XblAuthManager","<APPID HOSTED>","<APPID HOSTED>","","LocalServer32","00000000-0000-0000-0000-000000000000","2a947841-0594-48cf-9c53-a08c95c22b55","2A947841-0594-48CF-9C53-A08C95C22B55","True","00000000-0000-0000-0000-000000000000",,"False","False","False",,"System.Collections.ObjectModel.ReadOnlyDictionary`2[OleViewDotNet.Database.COMServerType,OleViewDotNet.Database.COMCLSIDServerEntry]","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Guid]","System.Linq.Enumerable+WhereEnumerableIterator`1[OleViewDotNet.Database.COMCategory]","System.Linq.Enumerable+WhereSelectArrayIterator`2[OleViewDotNet.Database.COMProgIDEntry,System.String]","OleViewDotNet.Database.COMProgIDEntry[]","Apartment","True","False","False","False","False","True","True","True","O:PSG:BUD:(A;;CCDCLCSWRP;;;AC)(A;;CCDCLCSWRP;;;WD)S:(ML;;NX;;;LW)","O:PSG:BUD:(A;;CCDCLCSWRP;;;AC)(A;;CCDCLCSWRP;;;WD)S:(ML;;NX;;;LW)","False","","","LocalMachine","False","OleViewDotNet.Database.COMInterfaceInstance[]","OleViewDotNet.Database.COMInterfaceInstance[]","LOCAL_SERVER","True","O:BAG:BAD:(A;;CCDCLC;;;PS)(A;;CCDC;;;SY)(A;;CCDCLC;;;BA)","O:BAG:BAD:(A;;CCDCLCSWRP;;;BA)(A;;CCDCLCSWRP;;;IU)(A;;CCDCLCSWRP;;;SY)","0134a8b2-3407-4b45-ad25-e9f7c92a80bc"
"02eca72e-27da-40e1-bdb1-4423ce649ad9","WalletFactory","C:\Windows\System32\WalletProxy.dll","WalletProxy.dll","","InProcServer32","00000000-0000-0000-0000-000000000000","2ea38040-0b9c-4379-87fd-4d38bb892f37","WalletService","True","00000000-0000-0000-0000-000000000000",,"False","False","False",,"System.Collections.ObjectModel.ReadOnlyDictionary`2[OleViewDotNet.Database.COMServerType,OleViewDotNet.Database.COMCLSIDServerEntry]","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Guid]","System.Linq.Enumerable+WhereEnumerableIterator`1[OleViewDotNet.Database.COMCategory]","System.Linq.Enumerable+WhereSelectArrayIterator`2[OleViewDotNet.Database.COMProgIDEntry,System.String]","OleViewDotNet.Database.COMProgIDEntry[]","Both","False","False","False","False","False","True","True","True","O:SYG:SYD:(A;;CCDCSW;;;S-1-15-3-1024-1314380931-3989923313-3249193833-1963115619-3940350845-1282913705-2904921893-3519892189)(A;;CCDCSW;;;S-1-5-21-2702878673-795188819-444038987-1030)(A;;CCDCSW;;;S-1-5-21-2702878673-795188819-444038987-1212)(A;;0x111fffff;;;SY)(A;;0x111fffff;;;BA)S:(ML;;NX;;;LW)","O:SYG:SYD:(A;;CCDC;;;S-1-15-3-1024-1314380931-3989923313-3249193833-1963115619-3940350845-1282913705-2904921893-3519892189)(A;;CCDC;;;S-1-5-21-2702878673-795188819-444038987-1030)(A;;CCDC;;;S-1-5-21-2702878673-795188819-444038987-1212)(A;;0x111fffff;;;SY)(A;;0x111fffff;;;BA)S:(ML;;NX;;;LW)","False","","","LocalMachine","False","OleViewDotNet.Database.COMInterfaceInstance[]","OleViewDotNet.Database.COMInterfaceInstance[]","INPROC_SERVER","True","O:BAG:BAD:(A;;CCDCLC;;;PS)(A;;CCDC;;;SY)(A;;CCDCLC;;;BA)","O:BAG:BAD:(A;;CCDCLCSWRP;;;BA)(A;;CCDCLCSWRP;;;IU)(A;;CCDCLCSWRP;;;SY)","02eca72e-27da-40e1-bdb1-4423ce649ad9"
"02fafbe2-4e3b-49be-a5ab-fd416270ee4b","LAN LW Connection Manager Connection Enumerator Class","<APPID HOSTED>","<APPID HOSTED>","","LocalServer32","00000000-0000-0000-0000-000000000000","27af75ed-20d9-11d1-b1ce-00805fc1270e","netman","True","00000000-0000-0000-0000-000000000000",,"False","False","False",,"System.Collections.ObjectModel.ReadOnlyDictionary`2[OleViewDotNet.Database.COMServerType,OleViewDotNet.Database.COMCLSIDServerEntry]","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Guid]","System.Linq.Enumerable+WhereEnumerableIterator`1[OleViewDotNet.Database.COMCategory]","System.Linq.Enumerable+WhereSelectArrayIterator`2[OleViewDotNet.Database.COMProgIDEntry,System.String]","OleViewDotNet.Database.COMProgIDEntry[]","Apartment","False","False","False","False","False","True","False","True","O:BAG:BAD:(A;;CCDCSW;;;BA)(A;;CCDCSW;;;IU)(A;;CCDCSW;;;LS)(A;;CCDCSW;;;NS)(A;;CCDCSW;;;SY)","","False","","","LocalMachine","False","OleViewDotNet.Database.COMInterfaceInstance[]","OleViewDotNet.Database.COMInterfaceInstance[]","LOCAL_SERVER","True","O:BAG:BAD:(A;;CCDCLC;;;PS)(A;;CCDC;;;SY)(A;;CCDCLC;;;BA)","O:BAG:BAD:(A;;CCDCLCSWRP;;;BA)(A;;CCDCLCSWRP;;;IU)(A;;CCDCLCSWRP;;;SY)","02fafbe2-4e3b-49be-a5ab-fd416270ee4b"
"03ca98d6-ff5d-49b8-abc6-03dd84127020","Background Intelligent Transfer Control Class 2.5","<APPID HOSTED>","<APPID HOSTED>","","LocalServer32","00000000-0000-0000-0000-000000000000","69ad4aee-51be-439b-a92c-86ae490e8b30","Background Intelligent Transfer Service","True","00000000-0000-0000-0000-000000000000",,"False","False","False",,"System.Collections.ObjectModel.ReadOnlyDictionary`2[OleViewDotNet.Database.COMServerType,OleViewDotNet.Database.COMCLSIDServerEntry]","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Guid]","System.Linq.Enumerable+WhereEnumerableIterator`1[OleViewDotNet.Database.COMCategory]","System.Linq.Enumerable+WhereSelectArrayIterator`2[OleViewDotNet.Database.COMProgIDEntry,System.String]","OleViewDotNet.Database.COMProgIDEntry[]","Apartment","False","False","False","False","False","True","False","True","O:S-1-5-21-528768928-1231760990-50533070-500G:S-1-5-21-528768928-1231760990-50533070-500D:(A;;CC;;;BA)(A;;CC;;;IU)(A;;CC;;;RM)(A;;CC;;;SU)(A;;CC;;;SY)(A;;CC;;;S-1-15-3-1)(A;;CC;;;S-1-15-3-2)(A;;CC;;;S-1-15-3-3)S:","","False","","","LocalMachine","False","OleViewDotNet.Database.COMInterfaceInstance[]","OleViewDotNet.Database.COMInterfaceInstance[]","LOCAL_SERVER","True","O:BAG:BAD:(A;;CCDCLC;;;PS)(A;;CCDC;;;SY)(A;;CCDCLC;;;BA)","O:BAG:BAD:(A;;CCDCLCSWRP;;;BA)(A;;CCDCLCSWRP;;;IU)(A;;CCDCLCSWRP;;;SY)","03ca98d6-ff5d-49b8-abc6-03dd84127020"
"08d9dfdf-c6f7-404a-a20f-66eec0a609cd","lfsvc","<APPID HOSTED>","<APPID HOSTED>","","LocalServer32","00000000-0000-0000-0000-000000000000","020fb939-2c8b-4db7-9e90-9527966e38e5","lfsvc","True","b25df0f7-46d8-4e0e-a4bf-a0912018bc40","Windows Geolocation Service, v1.0","True","False","False",,"System.Collections.ObjectModel.ReadOnlyDictionary`2[OleViewDotNet.Database.COMServerType,OleViewDotNet.Database.COMCLSIDServerEntry]","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Guid]","System.Linq.Enumerable+WhereEnumerableIterator`1[OleViewDotNet.Database.COMCategory]","System.Linq.Enumerable+WhereSelectArrayIterator`2[OleViewDotNet.Database.COMProgIDEntry,System.String]","OleViewDotNet.Database.COMProgIDEntry[]","Apartment","False","False","False","False","False","True","True","True","O:BAG:BAD:(A;;CCDCSW;;;WD)(A;;CCDCSW;;;SY)(A;;CCDCSW;;;BA)(A;;CCDCSWWPDT;;;IU)(A;;CCDCSWWPDT;;;AC)(A;;CCDCSW;;;S-1-15-3-3215430884-1339816292-89257616-1145831019)(A;;CCDCSW;;;LS)S:(ML;;NX;;;LW)","O:BAG:BAD:(A;;CCDC;;;PS)(A;;CCDC;;;WD)(A;;CCDC;;;SY)(A;;CCDC;;;BA)(A;;CCDCWP;;;IU)(A;;CCDCWP;;;AC)(A;;CCDC;;;S-1-15-3-3215430884-1339816292-89257616-1145831019)(A;;CCDC;;;LS)S:(ML;;NX;;;LW)","False","","","LocalMachine","False","OleViewDotNet.Database.COMInterfaceInstance[]","OleViewDotNet.Database.COMInterfaceInstance[]","LOCAL_SERVER","True","O:BAG:BAD:(A;;CCDCLC;;;PS)(A;;CCDC;;;SY)(A;;CCDCLC;;;BA)","O:BAG:BAD:(A;;CCDCLCSWRP;;;BA)(A;;CCDCLCSWRP;;;IU)(A;;CCDCLCSWRP;;;SY)","08d9dfdf-c6f7-404a-a20f-66eec0a609cd"
"0a886f29-465a-4aea-8b8e-be926bfae83e","EapQecMessenger","<APPID HOSTED>","<APPID HOSTED>","","LocalServer32","00000000-0000-0000-0000-000000000000","0a886f29-465a-4aea-8b8e-be926bfae83e","0A886F29-465A-4AEA-8B8E-BE926BFAE83E","True","00000000-0000-0000-0000-000000000000",,"False","False","False",,"System.Collections.ObjectModel.ReadOnlyDictionary`2[OleViewDotNet.Database.COMServerType,OleViewDotNet.Database.COMCLSIDServerEntry]","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Guid]","System.Linq.Enumerable+WhereEnumerableIterator`1[OleViewDotNet.Database.COMCategory]","System.Linq.Enumerable+WhereSelectArrayIterator`2[OleViewDotNet.Database.COMProgIDEntry,System.String]","OleViewDotNet.Database.COMProgIDEntry[]","Apartment","False","False","False","False","False","True","True","True","O:BAG:BAD:(A;;CCDCSW;;;SY)(A;;CCDCSW;;;NS)(A;;CCDCSW;;;BA)(A;;CCDCSW;;;IU)","O:BAG:BAD:(A;;CCDC;;;NS)(A;;CCDCLC;;;PS)(A;;CCDC;;;SY)","False","","","LocalMachine","False","OleViewDotNet.Database.COMInterfaceInstance[]","OleViewDotNet.Database.COMInterfaceInstance[]","LOCAL_SERVER","True","O:BAG:BAD:(A;;CCDCLC;;;PS)(A;;CCDC;;;SY)(A;;CCDCLC;;;BA)","O:BAG:BAD:(A;;CCDCLCSWRP;;;BA)(A;;CCDCLCSWRP;;;IU)(A;;CCDCLCSWRP;;;SY)","0a886f29-465a-4aea-8b8e-be926bfae83e"
"0b5a2c52-3eb9-470a-96e2-6c6d4570e40f","VssSnapshotMgmt Class","<APPID HOSTED>","<APPID HOSTED>","","LocalServer32","00000000-0000-0000-0000-000000000000","56be716b-2f76-4dfa-8702-67ae10044f0b","Volume Shadow Copy Service","True","00000000-0000-0000-0000-000000000000",,"False","False","False",,"System.Collections.ObjectModel.ReadOnlyDictionary`2[OleViewDotNet.Database.COMServerType,OleViewDotNet.Database.COMCLSIDServerEntry]","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Guid]","System.Linq.Enumerable+WhereEnumerableIterator`1[OleViewDotNet.Database.COMCategory]","System.Linq.Enumerable+WhereSelectEnumerableIterator`2[OleViewDotNet.Database.COMProgIDEntry,System.String]","System.Collections.ObjectModel.ReadOnlyCollection`1[OleViewDotNet.Database.COMProgIDEntry]","Apartment","False","False","False","False","False","True","False","True","O:SYG:SYD:(A;;CC;;;BO)(A;;CC;;;SY)(A;;CC;;;BA)","","False","","","LocalMachine","False","OleViewDotNet.Database.COMInterfaceInstance[]","OleViewDotNet.Database.COMInterfaceInstance[]","LOCAL_SERVER","True","O:BAG:BAD:(A;;CCDCLC;;;PS)(A;;CCDC;;;SY)(A;;CCDCLC;;;BA)","O:BAG:BAD:(A;;CCDCLCSWRP;;;BA)(A;;CCDCLCSWRP;;;IU)(A;;CCDCLCSWRP;;;SY)","0b5a2c52-3eb9-470a-96e2-6c6d4570e40f"
"0e9a7bb5-f699-4d66-8a47-b919f5b6a1db","ERC Lua Support","<APPID HOSTED>","<APPID HOSTED>","","LocalServer32","00000000-0000-0000-0000-000000000000","136a0dc7-df5c-4271-a2ac-15df1a1323f2","136A0DC7-DF5C-4271-A2AC-15DF1A1323F2","True","00000000-0000-0000-0000-000000000000",,"False","False","False",,"System.Collections.ObjectModel.ReadOnlyDictionary`2[OleViewDotNet.Database.COMServerType,OleViewDotNet.Database.COMCLSIDServerEntry]","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Guid]","System.Linq.Enumerable+WhereEnumerableIterator`1[OleViewDotNet.Database.COMCategory]","System.Linq.Enumerable+WhereSelectEnumerableIterator`2[OleViewDotNet.Database.COMProgIDEntry,System.String]","System.Collections.ObjectModel.ReadOnlyCollection`1[OleViewDotNet.Database.COMProgIDEntry]","Apartment","False","False","False","False","False","True","True","True","O:BAG:BAD:(A;;CCDCLCSWRP;;;SY)(A;;CCDCLCSWRP;;;BA)(A;;CCDCSW;;;IU)","O:BAG:BAD:(A;;CCDCLC;;;PS)(A;;CCDC;;;SY)","False","","","LocalMachine","False","OleViewDotNet.Database.COMInterfaceInstance[]","OleViewDotNet.Database.COMInterfaceInstance[]","LOCAL_SERVER","True","O:BAG:BAD:(A;;CCDCLC;;;PS)(A;;CCDC;;;SY)(A;;CCDCLC;;;BA)","O:BAG:BAD:(A;;CCDCLCSWRP;;;BA)(A;;CCDCLCSWRP;;;IU)(A;;CCDCLCSWRP;;;SY)","0e9a7bb5-f699-4d66-8a47-b919f5b6a1db"
"0fb40f0d-1021-4022-8da0-aab0588dfc8b","UPnPAutomationProxy","<APPID HOSTED>","<APPID HOSTED>","","LocalServer32","00000000-0000-0000-0000-000000000000","e495081b-bba5-4b89-ba3c-3b86a686b87a","upnphost","True","00000000-0000-0000-0000-000000000000",,"False","False","False",,"System.Collections.ObjectModel.ReadOnlyDictionary`2[OleViewDotNet.Database.COMServerType,OleViewDotNet.Database.COMCLSIDServerEntry]","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Guid]","System.Linq.Enumerable+WhereEnumerableIterator`1[OleViewDotNet.Database.COMCategory]","System.Linq.Enumerable+WhereSelectArrayIterator`2[OleViewDotNet.Database.COMProgIDEntry,System.String]","OleViewDotNet.Database.COMProgIDEntry[]","Apartment","False","False","False","False","False","True","False","True","O:SYG:BAD:(D;;CC;;;NU)(A;;CC;;;WD)","","False","","","LocalMachine","False","OleViewDotNet.Database.COMInterfaceInstance[]","OleViewDotNet.Database.COMInterfaceInstance[]","LOCAL_SERVER","True","O:BAG:BAD:(A;;CCDCLC;;;PS)(A;;CCDC;;;SY)(A;;CCDCLC;;;BA)","O:BAG:BAD:(A;;CCDCLCSWRP;;;BA)(A;;CCDCLCSWRP;;;IU)(A;;CCDCLCSWRP;;;SY)","0fb40f0d-1021-4022-8da0-aab0588dfc8b"
