#TYPE Selected.OleViewDotNet.Database.COMProgIDEntry
"ProgID","Clsid","ClassEntry","Name","Source","ComGuid"
"AADJCSP","186974b7-47bb-4673-9cdf-ebedde957427","AADJCSP","AADJCSP","LocalMachine","186974b7-47bb-4673-9cdf-ebedde957427"
"AboveLockAppLaunchCallback","7d0e1fd9-e110-45a9-9c24-95e7680d9cb8","AboveLockAppLaunchCallback class","AboveLockAppLaunchCallback class","LocalMachine","7d0e1fd9-e110-45a9-9c24-95e7680d9cb8"
"AccClientDocMgr.AccClientDocMgr","fc48cc30-4f3e-4fa1-803b-ad0e196a83b1","AccClientDocMgr Class","AccClientDocMgr Class","LocalMachine","fc48cc30-4f3e-4fa1-803b-ad0e196a83b1"
"AccClientDocMgr.AccClientDocMgr.1","fc48cc30-4f3e-4fa1-803b-ad0e196a83b1","AccClientDocMgr Class","AccClientDocMgr Class","LocalMachine","fc48cc30-4f3e-4fa1-803b-ad0e196a83b1"
"AccDictionary.AccDictionary","6572ee16-5fe5-4331-bb6d-76a49c56e423","AccDictionary Class","AccDictionary Class","LocalMachine","6572ee16-5fe5-4331-bb6d-76a49c56e423"
"AccDictionary.AccDictionary.1","6572ee16-5fe5-4331-bb6d-76a49c56e423","AccDictionary Class","AccDictionary Class","LocalMachine","6572ee16-5fe5-4331-bb6d-76a49c56e423"
"AccessControlEntry","b75ac000-9bdd-11d0-852c-00c04fd8d503","ADs Access Control Entry Object","","LocalMachine","b75ac000-9bdd-11d0-852c-00c04fd8d503"
"AccessControlList","b85ea052-9bdd-11d0-852c-00c04fd8d503","ADs Access Control List Object","","LocalMachine","b85ea052-9bdd-11d0-852c-00c04fd8d503"
"AccServerDocMgr.AccServerDocMgr","6089a37e-eb8a-482d-bd6f-f9f46904d16d","AccServerDocMgr Class","AccServerDocMgr Class","LocalMachine","6089a37e-eb8a-482d-bd6f-f9f46904d16d"
"AccServerDocMgr.AccServerDocMgr.1","6089a37e-eb8a-482d-bd6f-f9f46904d16d","AccServerDocMgr Class","AccServerDocMgr Class","LocalMachine","6089a37e-eb8a-482d-bd6f-f9f46904d16d"
"ADODB.Command","00000507-0000-0010-8000-00aa006d2ea4","ADODB.Command","ADODB.Command","LocalMachine","00000507-0000-0010-8000-00aa006d2ea4"
"ADODB.Command.6.0","00000507-0000-0010-8000-00aa006d2ea4","ADODB.Command","ADODB.Command","LocalMachine","00000507-0000-0010-8000-00aa006d2ea4"
"ADODB.Connection","00000514-0000-0010-8000-00aa006d2ea4","ADODB.Connection","ADODB.Connection","LocalMachine","00000514-0000-0010-8000-00aa006d2ea4"
"ADODB.Connection.6.0","00000514-0000-0010-8000-00aa006d2ea4","ADODB.Connection","ADODB.Connection","LocalMachine","00000514-0000-0010-8000-00aa006d2ea4"
"ADODB.Error","00000541-0000-0010-8000-00aa006d2ea4","ADODB.Error","ADODB.Error","LocalMachine","00000541-0000-0010-8000-00aa006d2ea4"
"ADODB.Error.6.0","00000541-0000-0010-8000-00aa006d2ea4","ADODB.Error","ADODB.Error","LocalMachine","00000541-0000-0010-8000-00aa006d2ea4"
"ADODB.ErrorLookup","00000542-0000-0010-8000-00aa006d2ea4","ADODB Error Lookup Service","ADODB Error Lookup Service","LocalMachine","00000542-0000-0010-8000-00aa006d2ea4"
"ADODB.ErrorLookup.6.0","00000542-0000-0010-8000-00aa006d2ea4","ADODB Error Lookup Service","ADODB Error Lookup Service","LocalMachine","00000542-0000-0010-8000-00aa006d2ea4"
"ADODB.Parameter","0000050b-0000-0010-8000-00aa006d2ea4","ADODB.Parameter","ADODB.Parameter","LocalMachine","0000050b-0000-0010-8000-00aa006d2ea4"
"ADODB.Parameter.6.0","0000050b-0000-0010-8000-00aa006d2ea4","ADODB.Parameter","ADODB.Parameter","LocalMachine","0000050b-0000-0010-8000-00aa006d2ea4"
"ADODB.Record","00000560-0000-0010-8000-00aa006d2ea4","ADODB.Record","ADODB.Record","LocalMachine","00000560-0000-0010-8000-00aa006d2ea4"
"ADODB.Record.6.0","00000560-0000-0010-8000-00aa006d2ea4","ADODB.Record","ADODB.Record","LocalMachine","00000560-0000-0010-8000-00aa006d2ea4"
"ADODB.Recordset","00000535-0000-0010-8000-00aa006d2ea4","ADODB.Recordset","ADODB.Recordset","LocalMachine","00000535-0000-0010-8000-00aa006d2ea4"
"ADODB.Recordset.6.0","00000535-0000-0010-8000-00aa006d2ea4","ADODB.Recordset","ADODB.Recordset","LocalMachine","00000535-0000-0010-8000-00aa006d2ea4"
"ADODB.Stream","00000566-0000-0010-8000-00aa006d2ea4","ADODB.Stream","ADODB.Stream","LocalMachine","00000566-0000-0010-8000-00aa006d2ea4"
"ADODB.Stream.6.0","00000566-0000-0010-8000-00aa006d2ea4","ADODB.Stream","ADODB.Stream","LocalMachine","00000566-0000-0010-8000-00aa006d2ea4"
"ADOMD.Catalog","228136b0-8bd3-11d0-b4ef-00a0c9138ca4","Catalog Class","Catalog Class","LocalMachine","228136b0-8bd3-11d0-b4ef-00a0c9138ca4"
"ADOMD.Catalog.6.0","228136b0-8bd3-11d0-b4ef-00a0c9138ca4","Catalog Class","Catalog Class","LocalMachine","228136b0-8bd3-11d0-b4ef-00a0c9138ca4"
"ADOMD.Cellset","228136b8-8bd3-11d0-b4ef-00a0c9138ca4","Cellset Class","Cellset Class","LocalMachine","228136b8-8bd3-11d0-b4ef-00a0c9138ca4"
"ADOMD.Cellset.6.0","228136b8-8bd3-11d0-b4ef-00a0c9138ca4","Cellset Class","Cellset Class","LocalMachine","228136b8-8bd3-11d0-b4ef-00a0c9138ca4"
"ADOR.Recordset","00000535-0000-0010-8000-00aa006d2ea4","ADODB.Recordset","ADOR.Recordset","LocalMachine","00000535-0000-0010-8000-00aa006d2ea4"
"ADOR.Recordset.6.0","00000535-0000-0010-8000-00aa006d2ea4","ADODB.Recordset","ADOR.Recordset","LocalMachine","00000535-0000-0010-8000-00aa006d2ea4"
"ADOX.Catalog","00000602-0000-0010-8000-00aa006d2ea4","ADOX.Catalog.6.0","ADOX.Catalog","LocalMachine","00000602-0000-0010-8000-00aa006d2ea4"
"ADOX.Catalog.6.0","00000602-0000-0010-8000-00aa006d2ea4","ADOX.Catalog.6.0","ADOX.Catalog.6.0","LocalMachine","00000602-0000-0010-8000-00aa006d2ea4"
"ADOX.Column","0000061b-0000-0010-8000-00aa006d2ea4","ADOX.Column.6.0","ADOX.Column","LocalMachine","0000061b-0000-0010-8000-00aa006d2ea4"
"ADOX.Column.6.0","0000061b-0000-0010-8000-00aa006d2ea4","ADOX.Column.6.0","ADOX.Column.6.0","LocalMachine","0000061b-0000-0010-8000-00aa006d2ea4"
"ADOX.Group","00000615-0000-0010-8000-00aa006d2ea4","ADOX.Group.6.0","ADOX.Group","LocalMachine","00000615-0000-0010-8000-00aa006d2ea4"
"ADOX.Group.6.0","00000615-0000-0010-8000-00aa006d2ea4","ADOX.Group.6.0","ADOX.Group.6.0","LocalMachine","00000615-0000-0010-8000-00aa006d2ea4"
"ADOX.Index","0000061e-0000-0010-8000-00aa006d2ea4","ADOX.Index.6.0","ADOX.Index","LocalMachine","0000061e-0000-0010-8000-00aa006d2ea4"
"ADOX.Index.6.0","0000061e-0000-0010-8000-00aa006d2ea4","ADOX.Index.6.0","ADOX.Index.6.0","LocalMachine","0000061e-0000-0010-8000-00aa006d2ea4"
"ADOX.Key","00000621-0000-0010-8000-00aa006d2ea4","ADOX.Key.6.0","ADOX.Key","LocalMachine","00000621-0000-0010-8000-00aa006d2ea4"
"ADOX.Key.6.0","00000621-0000-0010-8000-00aa006d2ea4","ADOX.Key.6.0","ADOX.Key.6.0","LocalMachine","00000621-0000-0010-8000-00aa006d2ea4"
"ADOX.Table","00000609-0000-0010-8000-00aa006d2ea4","ADOX.Table.6.0","ADOX.Table","LocalMachine","00000609-0000-0010-8000-00aa006d2ea4"
"ADOX.Table.6.0","00000609-0000-0010-8000-00aa006d2ea4","ADOX.Table.6.0","ADOX.Table.6.0","LocalMachine","00000609-0000-0010-8000-00aa006d2ea4"
"ADOX.User","00000618-0000-0010-8000-00aa006d2ea4","ADOX.User.6.0","ADOX.User","LocalMachine","00000618-0000-0010-8000-00aa006d2ea4"
"ADOX.User.6.0","00000618-0000-0010-8000-00aa006d2ea4","ADOX.User.6.0","ADOX.User.6.0","LocalMachine","00000618-0000-0010-8000-00aa006d2ea4"
"ADs","4753da60-5b71-11cf-b035-00aa006e0975","ADs Provider Object","","LocalMachine","4753da60-5b71-11cf-b035-00aa006e0975"
"ADsDSOObject","549365d0-ec26-11cf-8310-00aa00b505db","ADsDSOObject","OLE DB Provider for Microsoft Directory Services","LocalMachine","549365d0-ec26-11cf-8310-00aa00b505db"
"ADsNamespaces","233664b0-0367-11cf-abc4-02608c9e7553","ADs Namespaces Object","","LocalMachine","233664b0-0367-11cf-abc4-02608c9e7553"
"ADsSecurityUtility","f270c64a-ffb8-4ae4-85fe-3a75e5347966","ADs Security Utility Object","ADs Security Utility Object","LocalMachine","f270c64a-ffb8-4ae4-85fe-3a75e5347966"
"ADSystemInfo","50b6327f-afd1-11d2-9cb9-0000f87a369e","AD System Info Object","","LocalMachine","50b6327f-afd1-11d2-9cb9-0000f87a369e"
"AirplaneModeAPI","677561f9-50fc-4b24-921d-eacb89706059","AirplaneModeAPI","","LocalMachine","677561f9-50fc-4b24-921d-eacb89706059"
"AirplaneModeAPI.1","677561f9-50fc-4b24-921d-eacb89706059","AirplaneModeAPI","","LocalMachine","677561f9-50fc-4b24-921d-eacb89706059"
"AMOVIE.ActiveMovie Control.2","05589fa1-c356-11ce-bf01-00aa0055595a","ActiveMovieControl Object","ActiveMovie Control Object","LocalMachine","05589fa1-c356-11ce-bf01-00aa0055595a"
"AMOVIE.ActiveMovieControl.2","05589fa1-c356-11ce-bf01-00aa0055595a","ActiveMovieControl Object","ActiveMovie Control Object","LocalMachine","05589fa1-c356-11ce-bf01-00aa0055595a"
"Application.Manifest","98af66e4-aa41-4226-b80f-0b1a8f34eeb4","Manifest mime handler","Application Manifest","LocalMachine","98af66e4-aa41-4226-b80f-0b1a8f34eeb4"
"ASP.HostEncode","0cf774d1-f077-11d1-b1bc-00c04f86c324","ASP Host Encode Object","","LocalMachine","0cf774d1-f077-11d1-b1bc-00c04f86c324"
"ATL.Registrar","44ec053a-400f-11d0-9dcd-00a0c90391d3","Registrar Class","Registrar Class","LocalMachine","44ec053a-400f-11d0-9dcd-00a0c90391d3"
"AudioVBScript","4ee17959-931e-49e4-a2c6-977ecf3628f3",,"DirectMusic Audio VB Script Language","LocalMachine","4ee17959-931e-49e4-a2c6-977ecf3628f3"
"AudioVBScript.1","4ee17959-931e-49e4-a2c6-977ecf3628f3",,"DirectMusic Audio VB Script Language","LocalMachine","4ee17959-931e-49e4-a2c6-977ecf3628f3"
"AVIFile","00022602-0000-0000-c000-000000000046","Video Clip","","LocalMachine","00022602-0000-0000-c000-000000000046"
"AzRoles.AzAuthorizationStore.1","b2bcff59-a757-4b0b-a1bc-ea69981da69e","AzAuthorizationStore Class","AzAuthorizationStore Class","LocalMachine","b2bcff59-a757-4b0b-a1bc-ea69981da69e"
"AzRoles.AzBizRuleContext.1","5c2dc96f-8d51-434b-b33c-379bccae77c3","AzBizRuleContext Class","AzBizRuleContext Class","LocalMachine","5c2dc96f-8d51-434b-b33c-379bccae77c3"
"AzRoles.AzPrincipalLocator.1","483afb5d-70df-4e16-abdc-a1de4d015a3e","AzPrincipalLocator Class","AzPrincipalLocator Class","LocalMachine","483afb5d-70df-4e16-abdc-a1de4d015a3e"
"BannerNotificationHandler.BannerNotificationHandler","2e7c0a19-0438-41e9-81e3-3ad3d64f55ba","BannerNotificationHandler Class","BannerNotificationHandler Class","User","2e7c0a19-0438-41e9-81e3-3ad3d64f55ba"
"BannerNotificationHandler.BannerNotificationHandler.1","2e7c0a19-0438-41e9-81e3-3ad3d64f55ba","BannerNotificationHandler Class","BannerNotificationHandler Class","User","2e7c0a19-0438-41e9-81e3-3ad3d64f55ba"
"BDATuner.AnalogAudioComponentType.1","28ab0005-e845-4ffa-aa9b-f4665236141c","Analog Audio Component Type","Analog Audio Component Type","LocalMachine","28ab0005-e845-4ffa-aa9b-f4665236141c"
"BDATuner.AnalogLocator.1","49638b91-48ab-48b7-a47a-7d0e75a08ede","BDA Tuning Model Analog Locator","BDA Tuning Model Analog Locator","LocalMachine","49638b91-48ab-48b7-a47a-7d0e75a08ede"
"BDATuner.AnalogRadioTuningSpace.1","8a674b4c-1f63-11d3-b64c-00c04f79498e","BDA Tuning Model Analog Radio Tuning Space","BDA Tuning Model Analog Radio Tuning Space","LocalMachine","8a674b4c-1f63-11d3-b64c-00c04f79498e"
"BDATuner.AnalogTVTuningSpace.1","8a674b4d-1f63-11d3-b64c-00c04f79498e","BDA Tuning Model Analog TV Tuning Space","BDA Tuning Model Analog TV Tuning Space","LocalMachine","8a674b4d-1f63-11d3-b64c-00c04f79498e"
"BDATuner.ATSCChannelTuneRequest.1","0369b4e6-45b6-11d3-b650-00c04f79498e","BDA Tuning Model ATSC Channel Tune Request","BDA Tuning Model ATSC Channel Tune Request","LocalMachine","0369b4e6-45b6-11d3-b650-00c04f79498e"
"BDATuner.ATSCComponentType.1","a8dcf3d5-0780-4ef4-8a83-2cffaacb8ace","BDA Tuning Model ATSC Component Type Class (Broadcast Substream Type)","BDA Tuning Model ATSC Component Type Class (Broadcast Substream Type)","LocalMachine","a8dcf3d5-0780-4ef4-8a83-2cffaacb8ace"
"BDATuner.ATSCLocator.1","8872ff1b-98fa-4d7a-8d93-c9f1055f85bb","ATSC Tune Request Location Information","ATSC Tune Request Location Information","LocalMachine","8872ff1b-98fa-4d7a-8d93-c9f1055f85bb"
"BDATuner.ATSCTuningSpace.1","a2e30750-6c3d-11d3-b653-00c04f79498e","BDA Tuning Model ATSC Tuning Space","BDA Tuning Model ATSC Tuning Space","LocalMachine","a2e30750-6c3d-11d3-b653-00c04f79498e"
"BDATuner.AuxiliaryInTuningSpace.1","f9769a06-7aca-4e39-9cfb-97bb35f0e77e","BDA Tuning Model Auxiliary Inputs Tuning Space","BDA Tuning Model Auxiliary Inputs Tuning Space","LocalMachine","f9769a06-7aca-4e39-9cfb-97bb35f0e77e"
"BDATuner.ChannelIDTuneRequest.1","3a9428a7-31a4-45e9-9efb-e055bf7bb3db","BDA Tuning Model Channel ID Tune Request","BDA Tuning Model Channel ID Tune Request","LocalMachine","3a9428a7-31a4-45e9-9efb-e055bf7bb3db"
"BDATuner.ChannelIDTuningSpace.1","cc829a2f-3365-463f-af13-81dbb6f3a555","BDA Tuning Model Channel ID Tuning Space","BDA Tuning Model Channel ID Tuning Space","LocalMachine","cc829a2f-3365-463f-af13-81dbb6f3a555"
"BDATuner.ChannelTuneRequest.1","0369b4e5-45b6-11d3-b650-00c04f79498e","BDA Tuning Model Channel Tune Request","BDA Tuning Model Channel Tune Request","LocalMachine","0369b4e5-45b6-11d3-b650-00c04f79498e"
"BDATuner.Component.1","59dc47a8-116c-11d3-9d8e-00c04f72d980","BDA Tuning Model Component Class(Broadcast Substream)","BDA Tuning Model Component Class(Broadcast Substream)","LocalMachine","59dc47a8-116c-11d3-9d8e-00c04f72d980"
"BDATuner.Components.1","809b6661-94c4-49e6-b6ec-3f0f862215aa","Collection of BDA Tuning Model Components(Broadcast Substreams)","Collection of BDA Tuning Model Components(Broadcast Substreams)","LocalMachine","809b6661-94c4-49e6-b6ec-3f0f862215aa"
"BDATuner.ComponentType.1","823535a0-0318-11d3-9d8e-00c04f72d980","BDA Tuning Model Component Type Class (Broadcast Substream Type)","BDA Tuning Model Component Type Class (Broadcast Substream Type)","LocalMachine","823535a0-0318-11d3-9d8e-00c04f72d980"
