#TYPE Selected.OleViewDotNet.Database.COMRuntimeServerEntry
"Identity","Name","ServiceName","ExePath","ExeName","Permissions","HasPermission","IdentityType","ServerType","InstancingType","Classes","ClassCount","PackageId","RuntimeServer","Source","DefaultAccessPermission","DefaultLaunchPermission"
"nt authority\system","AgentActivationRuntime","AarSvc","","","O:PSG:BUD:(A;;CCDCSW;;;SY)(A;;CCDCSW;;;LS)(A;;CCDCSW;;;IU)(A;;CCDCSW;;;AC)S:(ML;;NX;;;LW)","True","RunAs","SvchostService","SingleInstance","System.Collections.ObjectModel.ReadOnlyCollection`1[OleViewDotNet.Database.COMRuntimeClassEntry]","3","","True","LocalMachine","O:SYG:SYD:","O:SYG:SYD:"
"nt authority\localservice","BTAGService","BTAGService","","","O:PSG:BUD:(A;;CCDCSW;;;AU)(A;;CCDCSW;;;S-1-5-80-2636612206-2079418197-1004231589-1812192203-4197254245)(A;;CCDCSW;;;AC)S:(ML;;NX;;;LW)","True","RunAs","SvchostService","SingleInstance","System.Collections.ObjectModel.ReadOnlyCollection`1[OleViewDotNet.Database.COMRuntimeClassEntry]","2","","True","LocalMachine","O:SYG:SYD:","O:SYG:SYD:"
"nt authority\localservice","bthserv","bthserv","","","O:PSG:BUD:(A;;CCDCLCSWRP;;;AC)(A;;CCDCLCSWRP;;;WD)S:(ML;;NX;;;LW)","True","RunAs","SvchostService","SingleInstance","System.Collections.ObjectModel.ReadOnlyCollection`1[OleViewDotNet.Database.COMRuntimeClassEntry]","15","","True","LocalMachine","O:SYG:SYD:","O:SYG:SYD:"
"nt authority\system","camsvc","camsvc","","","O:PSG:BUD:(A;;CCDCLCSWRP;;;WD)(A;;CCDCLCSWRP;;;AC)(A;;CCDCLCSWRP;;;S-1-15-3-1024-1502825166-1963708345-2616377461-2562897074-4192028372-3968301570-1997628692-1435953622)S:(ML;;NX;;;LW)","True","RunAs","SvchostService","SingleInstance","System.Collections.ObjectModel.ReadOnlyCollection`1[OleViewDotNet.Database.COMRuntimeClassEntry]","4","","True","LocalMachine","O:SYG:SYD:","O:SYG:SYD:"
"nt authority\system","CrossContainerCamSvc","camsvc","","","O:PSG:BUD:(A;;CCDCLCSWWPDT;;;WD)(A;;CCDCLCSWWPDT;;;AC)(A;;CCDCLCSWWPDT;;;S-1-15-3-1024-1502825166-1963708345-2616377461-2562897074-4192028372-3968301570-1997628692-1435953622)S:(ML;;NX;;;LW)","True","RunAs","SvchostService","SingleInstance","System.Collections.ObjectModel.ReadOnlyCollection`1[OleViewDotNet.Database.COMRuntimeClassEntry]","1","","True","LocalMachine","O:SYG:SYD:","O:SYG:SYD:"
"nt authority\system","DeviceAssociationBrokerSvc","DeviceAssociationBrokerSvc","","","O:PSG:BUD:(A;;CCDCLCSWRP;;;WD)(A;;CCDCLCSWRP;;;AC)(A;;CCDCLCSWRP;;;S-1-15-3-1024-1502825166-1963708345-2616377461-2562897074-4192028372-3968301570-1997628692-1435953622)S:(ML;;NX;;;LW)","True","RunAs","SvchostService","SingleInstance","System.Collections.ObjectModel.ReadOnlyCollection`1[OleViewDotNet.Database.COMRuntimeClassEntry]","1","","True","LocalMachine","O:SYG:SYD:","O:SYG:SYD:"
"nt authority\system","DevicePickerUserSvc","DevicePickerUserSvc","","","O:PSG:BUD:(A;;CCDCSW;;;SY)(A;;CCDCSW;;;LS)(A;;CCDCSW;;;IU)(A;;CCDCSW;;;AC)(A;;CCDCSW;;;S-1-5-21-2702878673-795188819-444038987-2781)S:(ML;;NX;;;LW)","True","RunAs","SvchostService","SingleInstance","System.Collections.ObjectModel.ReadOnlyCollection`1[OleViewDotNet.Database.COMRuntimeClassEntry]","2","","True","LocalMachine","O:SYG:SYD:","O:SYG:SYD:"
"nt authority\system","EnrollmentServer","DmEnrollmentSvc","","","","False","RunAs","SvchostService","SingleInstance","System.Collections.ObjectModel.ReadOnlyCollection`1[OleViewDotNet.Database.COMRuntimeClassEntry]","11","","True","LocalMachine","O:SYG:SYD:","O:SYG:SYD:"
"nt authority\system","InstallService","InstallService","","","O:PSG:BUD:(A;;CCDCSW;;;AC)(A;;CCDCSW;;;WD)(A;;CCDCWP;;;AN)(A;;CCWPDT;;;AN)S:(ML;;NX;;;S-1-16-0)","True","RunAs","SvchostService","SingleInstance","System.Collections.ObjectModel.ReadOnlyCollection`1[OleViewDotNet.Database.COMRuntimeClassEntry]","2","","True","LocalMachine","O:SYG:SYD:","O:SYG:SYD:"
"nt authority\system","MdmConfigurationServer","DmEnrollmentSvc","","","","False","RunAs","SvchostService","SingleInstance","System.Collections.ObjectModel.ReadOnlyCollection`1[OleViewDotNet.Database.COMRuntimeClassEntry]","2","","True","LocalMachine","O:SYG:SYD:","O:SYG:SYD:"
