#TYPE Selected.OleViewDotNet.Database.COMRuntimeClassEntry
"Name","Clsid","DllPath","DllName","PackageId","PackageName","Package","RuntimeClass","Server","DefaultServer","HasServer","ServerEntry","ActivationType","Permissions","HasPermission","ServerPermissions","HasServerPermission","TrustLevel","Threading","ActivateInSharedBroker","RuntimeType","Source","SupportsRemoteActivation","InterfacesLoaded","Interfaces","FactoryInterfaces","DefaultAccessPermission","DefaultLaunchPermission"
"Analog.Shell.Broker.AssignedAccess","00000000-0000-0000-0000-000000000000","C:\Windows\System32\Analog.Shell.Broker.dll","Analog.Shell.Broker.dll","","",,"True","","","False",,"InProcess","","False","","False","PartialTrust","Both","False",,"LocalMachine","False","False","OleViewDotNet.Database.COMInterfaceInstance[]","OleViewDotNet.Database.COMInterfaceInstance[]","O:SYG:SYD:","O:SYG:SYD:"
"Analog.Shell.Broker.BrightnessController","00000000-0000-0000-0000-000000000000","C:\Windows\System32\Analog.Shell.Broker.dll","Analog.Shell.Broker.dll","","",,"True","","","False",,"InProcess","","False","","False","PartialTrust","Both","False",,"LocalMachine","False","False","OleViewDotNet.Database.COMInterfaceInstance[]","OleViewDotNet.Database.COMInterfaceInstance[]","O:SYG:SYD:","O:SYG:SYD:"
"Analog.Shell.Broker.CameraAccess","00000000-0000-0000-0000-000000000000","C:\Windows\System32\Analog.Shell.Broker.dll","Analog.Shell.Broker.dll","","",,"True","","","False",,"InProcess","","False","","False","PartialTrust","Both","False",,"LocalMachine","False","False","OleViewDotNet.Database.COMInterfaceInstance[]","OleViewDotNet.Database.COMInterfaceInstance[]","O:SYG:SYD:","O:SYG:SYD:"
"Analog.Shell.Broker.GlobalizationSettings","00000000-0000-0000-0000-000000000000","C:\Windows\System32\Analog.Shell.Broker.dll","Analog.Shell.Broker.dll","","",,"True","","","False",,"InProcess","","False","","False","PartialTrust","Both","False",,"LocalMachine","False","False","OleViewDotNet.Database.COMInterfaceInstance[]","OleViewDotNet.Database.COMInterfaceInstance[]","O:SYG:SYD:","O:SYG:SYD:"
"Analog.Shell.Broker.PopupClient","00000000-0000-0000-0000-000000000000","C:\Windows\System32\Analog.Shell.Broker.dll","Analog.Shell.Broker.dll","","",,"True","","","False",,"InProcess","","False","","False","PartialTrust","Both","False",,"LocalMachine","False","False","OleViewDotNet.Database.COMInterfaceInstance[]","OleViewDotNet.Database.COMInterfaceInstance[]","O:SYG:SYD:","O:SYG:SYD:"
"Analog.Shell.Broker.RegistryHelper","00000000-0000-0000-0000-000000000000","C:\Windows\System32\Analog.Shell.Broker.dll","Analog.Shell.Broker.dll","","",,"True","","","False",,"InProcess","","False","","False","PartialTrust","Both","False",,"LocalMachine","False","False","OleViewDotNet.Database.COMInterfaceInstance[]","OleViewDotNet.Database.COMInterfaceInstance[]","O:SYG:SYD:","O:SYG:SYD:"
"Analog.Shell.Broker.ShutdownController","00000000-0000-0000-0000-000000000000","C:\Windows\System32\Analog.Shell.Broker.dll","Analog.Shell.Broker.dll","","",,"True","","","False",,"InProcess","","False","","False","PartialTrust","Both","False",,"LocalMachine","False","False","OleViewDotNet.Database.COMInterfaceInstance[]","OleViewDotNet.Database.COMInterfaceInstance[]","O:SYG:SYD:","O:SYG:SYD:"
"Analog.Shell.Broker.SplashScreen","00000000-0000-0000-0000-000000000000","C:\Windows\System32\Analog.Shell.Broker.dll","Analog.Shell.Broker.dll","","",,"True","","","False",,"InProcess","","False","","False","PartialTrust","Both","False",,"LocalMachine","False","False","OleViewDotNet.Database.COMInterfaceInstance[]","OleViewDotNet.Database.COMInterfaceInstance[]","O:SYG:SYD:","O:SYG:SYD:"
"Analog.Shell.Broker.Util","00000000-0000-0000-0000-000000000000","C:\Windows\System32\Analog.Shell.Broker.dll","Analog.Shell.Broker.dll","","",,"True","","","False",,"InProcess","","False","","False","PartialTrust","Both","False",,"LocalMachine","False","False","OleViewDotNet.Database.COMInterfaceInstance[]","OleViewDotNet.Database.COMInterfaceInstance[]","O:SYG:SYD:","O:SYG:SYD:"
"Analog.Shell.Interop.ViewClosedHandler","00000000-0000-0000-0000-000000000000","C:\Windows\System32\Analog.Shell.Broker.dll","Analog.Shell.Broker.dll","","",,"True","","","False",,"InProcess","","False","","False","BaseTrust","Both","False",,"LocalMachine","False","False","OleViewDotNet.Database.COMInterfaceInstance[]","OleViewDotNet.Database.COMInterfaceInstance[]","O:SYG:SYD:","O:SYG:SYD:"
"Analog.Shell.Interop.ViewDeactivatedHandler","00000000-0000-0000-0000-000000000000","C:\Windows\System32\Analog.Shell.Broker.dll","Analog.Shell.Broker.dll","","",,"True","","","False",,"InProcess","","False","","False","BaseTrust","Both","False",,"LocalMachine","False","False","OleViewDotNet.Database.COMInterfaceInstance[]","OleViewDotNet.Database.COMInterfaceInstance[]","O:SYG:SYD:","O:SYG:SYD:"
"Analog.Shell.Interop.ViewManager","00000000-0000-0000-0000-000000000000","C:\Windows\System32\Analog.Shell.Broker.dll","Analog.Shell.Broker.dll","","",,"True","","","False",,"InProcess","","False","","False","BaseTrust","Both","False",,"LocalMachine","False","False","OleViewDotNet.Database.COMInterfaceInstance[]","OleViewDotNet.Database.COMInterfaceInstance[]","O:SYG:SYD:","O:SYG:SYD:"
