#TYPE Selected.OleViewDotNet.Database.COMTypeLibVersionEntry
"TypelibId","Version","Name","Win32Path","Win64Path","Locale","Source","NativePath","ComGuid"
"00000200-0000-0010-8000-00aa006d2ea4","2.0","Microsoft ActiveX Data Objects 2.0 Library","C:\Program Files (x86)\Common Files\System\ado\msado20.tlb","C:\Program Files\Common Files\System\ado\msado20.tlb","0","LocalMachine","C:\Program Files\Common Files\System\ado\msado20.tlb","00000200-0000-0010-8000-00aa006d2ea4"
"00000201-0000-0010-8000-00aa006d2ea4","2.1","Microsoft ActiveX Data Objects 2.1 Library","C:\Program Files (x86)\Common Files\System\ado\msado21.tlb","C:\Program Files\Common Files\System\ado\msado21.tlb","0","LocalMachine","C:\Program Files\Common Files\System\ado\msado21.tlb","00000201-0000-0010-8000-00aa006d2ea4"
"00000205-0000-0010-8000-00aa006d2ea4","2.5","Microsoft ActiveX Data Objects 2.5 Library","C:\Program Files (x86)\Common Files\System\ado\msado25.tlb","C:\Program Files\Common Files\System\ado\msado25.tlb","0","LocalMachine","C:\Program Files\Common Files\System\ado\msado25.tlb","00000205-0000-0010-8000-00aa006d2ea4"
"00000206-0000-0010-8000-00aa006d2ea4","2.6","Microsoft ActiveX Data Objects 2.6 Library","C:\Program Files (x86)\Common Files\System\ado\msado26.tlb","C:\Program Files\Common Files\System\ado\msado26.tlb","0","LocalMachine","C:\Program Files\Common Files\System\ado\msado26.tlb","00000206-0000-0010-8000-00aa006d2ea4"
"00000300-0000-0010-8000-00aa006d2ea4","2.8","Microsoft ActiveX Data Objects Recordset 2.8 Library","C:\Program Files (x86)\Common Files\System\ado\msador28.tlb","C:\Program Files\Common Files\System\ado\msador28.tlb","0","LocalMachine","C:\Program Files\Common Files\System\ado\msador28.tlb","00000300-0000-0010-8000-00aa006d2ea4"
"00000300-0000-0010-8000-00aa006d2ea4","6.0","Microsoft ActiveX Data Objects Recordset 6.0 Library","C:\Program Files (x86)\Common Files\System\ado\msador15.dll","C:\Program Files\Common Files\System\ado\msador15.dll","0","LocalMachine","C:\Program Files\Common Files\System\ado\msador15.dll","00000300-0000-0010-8000-00aa006d2ea4"
"00000600-0000-0010-8000-00aa006d2ea4","2.8","Microsoft ADO Ext. 2.8 for DDL and Security","C:\Program Files (x86)\Common Files\System\ado\msadox28.tlb","C:\Program Files\Common Files\System\ado\msadox28.tlb","0","LocalMachine","C:\Program Files\Common Files\System\ado\msadox28.tlb","00000600-0000-0010-8000-00aa006d2ea4"
"00000600-0000-0010-8000-00aa006d2ea4","6.0","Microsoft ADO Ext. 6.0 for DDL and Security","C:\Program Files (x86)\Common Files\System\ado\msadox.dll","C:\Program Files\Common Files\System\ado\msadox.dll","0","LocalMachine","C:\Program Files\Common Files\System\ado\msadox.dll","00000600-0000-0010-8000-00aa006d2ea4"
"00020430-0000-0000-c000-000000000046","1.0","OLE Automation","C:\Windows\System32\stdole32.tlb",,"0","LocalMachine","C:\Windows\System32\stdole32.tlb","00020430-0000-0000-c000-000000000046"
"00020430-0000-0000-c000-000000000046","2.0","OLE Automation","C:\Windows\SysWOW64\stdole2.tlb","C:\Windows\System32\stdole2.tlb","0","LocalMachine","C:\Windows\System32\stdole2.tlb","00020430-0000-0000-c000-000000000046"
"000204ef-0000-0000-c000-000000000046","6.0","Visual Basic For Applications","C:\Windows\SysWOW64\msvbvm60.dll",,"9","LocalMachine","C:\Windows\SysWOW64\msvbvm60.dll","000204ef-0000-0000-c000-000000000046"
