#TYPE Selected.OleViewDotNet.Database.COMRuntimeClassEntry
"Name","Clsid","DllPath","DllName","PackageId","PackageName","Package","RuntimeClass","Server","DefaultServer","HasServer","ServerEntry","ActivationType","Permissions","HasPermission","ServerPermissions","HasServerPermission","TrustLevel","Threading","ActivateInSharedBroker","RuntimeType","Source","SupportsRemoteActivation","InterfacesLoaded","Interfaces","FactoryInterfaces","DefaultAccessPermission","DefaultLaunchPermission"
"ApplicationTheme.AppThemeAPI","cc1ba0e4-dace-3073-94e0-a3923fa3b313","C:\Windows\SysWOW64\Windows.UI.Immersive.dll","Windows.UI.Immersive.dll","","",,"True","","","False",,"InProcess","","False","","False","BaseTrust","Both","False",,"LocalMachine","False","False","OleViewDotNet.Database.COMInterfaceInstance[]","OleViewDotNet.Database.COMInterfaceInstance[]","O:SYG:SYD:","O:SYG:SYD:"
"ApplicationTheme.AppThemeBrokeredAPI","02eb7bb9-3566-3163-99ac-2cb4f6caffc5","C:\Windows\SysWOW64\Windows.UI.Immersive.dll","Windows.UI.Immersive.dll","","",,"True","","","False",,"InProcess","","False","","False","PartialTrust","Both","False",,"LocalMachine","False","False","OleViewDotNet.Database.COMInterfaceInstance[]","OleViewDotNet.Database.COMInterfaceInstance[]","O:SYG:SYD:","O:SYG:SYD:"
"CloudExperienceHostAPI.Environment","779dc74f-d578-313d-adb5-bd72f78862a6","C:\Windows\SysWOW64\CloudExperienceHostCommon.dll","CloudExperienceHostCommon.dll","","",,"True","","","False",,"InProcess","","False","","False","PartialTrust","Both","False",,"LocalMachine","False","False","OleViewDotNet.Database.COMInterfaceInstance[]","OleViewDotNet.Database.COMInterfaceInstance[]","O:SYG:SYD:","O:SYG:SYD:"
"CloudExperienceHostAPI.EventLogging","5eba250e-740b-379d-850d-44f6e33b5145","C:\Windows\SysWOW64\CloudExperienceHostCommon.dll","CloudExperienceHostCommon.dll","","",,"True","","","False",,"InProcess","","False","","False","PartialTrust","Both","False",,"LocalMachine","False","False","OleViewDotNet.Database.COMInterfaceInstance[]","OleViewDotNet.Database.COMInterfaceInstance[]","O:SYG:SYD:","O:SYG:SYD:"
"CloudExperienceHostAPI.SignInIdentities","30cd3173-136b-3bd4-8d77-33e47d62aa1e","C:\Windows\SysWOW64\CloudExperienceHostCommon.dll","CloudExperienceHostCommon.dll","","",,"True","","","False",,"InProcess","","False","","False","PartialTrust","Both","False",,"LocalMachine","False","False","OleViewDotNet.Database.COMInterfaceInstance[]","OleViewDotNet.Database.COMInterfaceInstance[]","O:SYG:SYD:","O:SYG:SYD:"
"CloudExperienceHostAPI.Synchronization","683fbfda-80bc-3fa3-856b-f2465a89d77f","C:\Windows\SysWOW64\CloudExperienceHostCommon.dll","CloudExperienceHostCommon.dll","","",,"True","","","False",,"InProcess","","False","","False","PartialTrust","Both","False",,"LocalMachine","False","False","OleViewDotNet.Database.COMInterfaceInstance[]","OleViewDotNet.Database.COMInterfaceInstance[]","O:SYG:SYD:","O:SYG:SYD:"
"CloudExperienceHostAPI.SyncSettings.SyncSettingsProvider","8d483bdc-0e45-3d0c-984c-eb90b50f7a38","C:\Windows\SysWOW64\syncsettings.dll","syncsettings.dll","","",,"True","","","False",,"InProcess","","False","","False","PartialTrust","Both","False",,"LocalMachine","False","False","OleViewDotNet.Database.COMInterfaceInstance[]","OleViewDotNet.Database.COMInterfaceInstance[]","O:SYG:SYD:","O:SYG:SYD:"
"CloudExperienceHostAPI.UserColorPreference.UserPreferredColors","ff5f85ce-2ddc-3aa5-9e7d-23c472ce3ae3","C:\Windows\SysWOW64\CloudExperienceHostCommon.dll","CloudExperienceHostCommon.dll","","",,"True","","","False",,"InProcess","","False","","False","PartialTrust","Both","False",,"LocalMachine","False","False","OleViewDotNet.Database.COMInterfaceInstance[]","OleViewDotNet.Database.COMInterfaceInstance[]","O:SYG:SYD:","O:SYG:SYD:"
"com.microsoft.playready.CdmFactory","4dc3317e-01b4-3ddc-bab3-2f35255ef8c6","C:\Windows\SysWOW64\Windows.Media.Protection.PlayReady.dll","Windows.Media.Protection.PlayReady.dll","","",,"True","","","False",,"InProcess","","False","","False","BaseTrust","Both","False",,"LocalMachine","False","False","OleViewDotNet.Database.COMInterfaceInstance[]","OleViewDotNet.Database.COMInterfaceInstance[]","O:SYG:SYD:","O:SYG:SYD:"
"com.microsoft.playready.hardware.CdmFactory","eae2c0a8-66f8-3142-af64-204e084b6e13","C:\Windows\SysWOW64\Windows.Media.Protection.PlayReady.dll","Windows.Media.Protection.PlayReady.dll","","",,"True","","","False",,"InProcess","","False","","False","BaseTrust","Both","False",,"LocalMachine","False","False","OleViewDotNet.Database.COMInterfaceInstance[]","OleViewDotNet.Database.COMInterfaceInstance[]","O:SYG:SYD:","O:SYG:SYD:"
